evtype,evsort,event.name
ROUGH SEAS,26729203.29,High Surf
ROUGH SURF,17819468.86,High Surf
SEICHE,80187609.87,Seiche
SMALL HAIL,98007078.73,Hail
SNOW,142555750.9,Winter Weather
SNOW AND ICE,8909734.43,Winter Weather
SNOW SQUALL,26729203.29,Winter Weather
SNOW SQUALLS,44548672.15,Winter Weather
STORM SURGE,1505745119,Storm Surge/Tide
STORM SURGE/TIDE,418757518.2,Storm Surge/Tide
STRONG WIND,30016895295,Strong Wind
STRONG WINDS,400938049.4,Strong Wind
THUNDERSTORM,17819468.86,Thunderstorm Wind
THUNDERSTORM WIND,3.84E+11,Thunderstorm Wind
THUNDERSTORM WIND (G40),8909734.43,Thunderstorm Wind
TIDAL FLOODING,35638937.72,Flood
TORNADO,1.10E+11,Tornado
TORRENTIAL RAINFALL,8909734.43,Heavy Rain
TROPICAL DEPRESSION,311840705.1,Tropical Depression
TROPICAL STORM,3652991116,Tropical Storm
TSTM WIND,5.50E+11,Tsunami
TSTM WIND  (G45),8909734.43,Tsunami
TSTM WIND (41),8909734.43,Tsunami
TSTM WIND (G35),8909734.43,Tsunami
TSTM WIND (G40),80187609.87,Tsunami
TSTM WIND (G45),320750439.5,Tsunami
TSTM WIND 40,8909734.43,Tsunami
TSTM WIND 45,8909734.43,Tsunami
TSTM WIND AND LIGHTNING,8909734.43,Tsunami
TSTM WIND G45,8909734.43,Tsunami
TSTM WIND/HAIL,3911373415,Tsunami
TSUNAMI,124736282,Tsunami
TYPHOON,80187609.87,Hurricane (Typhoon)
UNSEASONABLE COLD,8909734.43,Extreme Cold/Wind Chill
UNSEASONABLY COLD,26729203.29,Extreme Cold/Wind Chill
UNSEASONABLY WARM,44548672.15,Excessive Heat
UNSEASONAL RAIN,17819468.86,Heavy Rain
URBAN/SML STREAM FLD,6254633570,Flood
VOLCANIC ASH,17819468.86,Volcanic Ash
WARM WEATHER,8909734.43,Excessive Heat
WATERSPOUT,240562829.6,Waterspout
WET MICROBURST,26729203.29,Waterspout
WHIRLWIND,26729203.29,Thunderstorm Wind
WILD/FOREST FIRE,3394608818,Wildfire
WILDFIRE,7546545062,Wildfire
WIND,596952206.8,Strong Wind
WIND AND WAVE,8909734.43,Strong Wind
WIND DAMAGE,8909734.43,Strong Wind
WINDS,8909734.43,Strong Wind
WINTER STORM,12999302533,Winter Storm
WINTER WEATHER,3608442444,Winter Weather
WINTER WEATHER MIX,17819468.86,Winter Weather
WINTER WEATHER/MIX,1238453086,Winter Weather
WINTRY MIX,35638937.72,Winter Weather
